"GeoFIPS","State","Region","TableName","LineCode","Type","Description","Unit","Year","Value","IPC"
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","1997",1587.33220849341,67.7236935184677
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","1998",1688.11453606666,68.7749542578521
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","1999",1788.56592525889,70.27976896172
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2000",1771.43367595819,72.6530164502968
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2001",1800.38327371988,74.7063150181914
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2002",1838.15824878388,75.8911808013771
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2003",1783.18384416761,77.6139826819736
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2004",1754.25623930116,79.6918927053052
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2005",1683.34156091316,82.3956368811801
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2006",1556.6640882973,85.0536740683861
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2007",1520.34791080294,87.4799768230408
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2008",1242.86616736917,90.8384208727644
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2009",1147.87035802682,90.5154482589856
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2010",1209.78338542252,91.9999409325069
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2011",1233.87541224109,94.9042333109721
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2012",1302.80217499956,96.8681219771859
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2013",1340.96976803667,98.2870778608004
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2014",1385.64179955605,99.8815134216813
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2015",1477,100
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2016",1474.39922696753,101.261583205705
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2017",1486.19348991224,103.418566319434
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2018",1496.06420507606,105.944650946275
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2019",1451.82027902574,107.864590584923
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2020",1475.33969232394,109.195191343518
" 00000","United States",NA,"SAPCE2",4,"Durable goods","   Motor vehicles and parts ","Dollars","2021",1824.97549990037,113.700156528856
" 00000","United States",NA,"SAPCE2",5,"Durable goods","   Furnishings and durable household equipment ","Dollars","1997",869.710391444294,67.7236935184677
" 00000","United States",NA,"SAPCE2",5,"Durable goods","   Furnishings and durable household equipment ","Dollars","1998",914.577125913808,68.7749542578521
" 00000","United States",NA,"SAPCE2",5,"Durable goods","   Furnishings and durable household equipment ","Dollars","1999",974.675941767972,70.27976896172
